Index, I_out, Q_out
1, -48195, 7592
2, -49349, 6698
3, -50311, 8893
4, -49986, 12008
5, -50126, 14779
6, -49177, 17369
7, -48276, 18705
8, -48248, 18623
9, -48573, 17147
10, -50369, 14156
11, -51779, 10117
12, -53314, 5915
13, -54453, 2298
14, -55234, -255
15, -55124, -233
16, -54163, 2312
17, -51646, 8075
18, -47447, 16258
19, -40817, 27158
20, -30998, 37641
21, -20969, 46698
22, -11012, 53239
23, -2351, 56739
24, 5210, 58118
25, 11113, 56545
26, 17430, 52554
27, 21808, 42657
28, 23223, 26897
29, 20421, 8477
30, 15164, -8982
31, 9456, -25198
32, 1934, -37413
33, -5312, -44206
34, -11585, -45397
35, -18465, -46163
36, -26079, -46181
37, -34803, -41973
38, -42243, -32496
39, -47605, -19297
40, -50775, -5835
41, -51521, 5583
42, -49978, 14502
43, -48253, 19374
44, -46716, 21321
45, -43074, 19260
46, -38927, 12666
47, -31799, 2561
48, -25472, -9139
49, -19789, -22310
50, -13963, -33540
51, -10280, -42616
52, -8136, -48839
53, -6021, -54158
54, -6286, -59020
55, -6882, -64478
56, -8653, -67839
57, -11374, -68081
58, -15228, -66052
59, -18158, -60319
60, -19536, -52837
61, -18695, -40452
62, -14550, -26937
63, -8623, -13803
64, -4020, -2970
65, 1863, 8023
66, 7337, 18808
67, 13070, 29128
68, 15500, 33887
69, 15837, 38331
70, 15777, 44909
71, 13302, 53338
72, 10488, 58028
73, 6438, 60355
74, 3011, 61957
75, 825, 60922
76, 1047, 58727
77, 2434, 54643
78, 8166, 48427
79, 16004, 41991
80, 26674, 34935
81, 36918, 27131
82, 45490, 17744
83, 51101, 9675
84, 54832, 3493
85, 56952, -3226
86, 56777, -9353
87, 53378, -17015
88, 45136, -25726
89, 32593, -34543
90, 16886, -40757
91, 1164, -44357
92, -11870, -46650
93, -19011, -45680
94, -22190, -46510
95, -21849, -46833
96, -16525, -47290
97, -6532, -46485
98, 7939, -42089
99, 22870, -36646
100, 36972, -30768
101, 46503, -24020
102, 53070, -17330
103, 55680, -12420
104, 54059, -9024
105, 48464, -5432
106, 34430, -2050
107, 15568, 1741
108, -4559, 5120
109, -23153, 6426
110, -35085, 8377
111, -42543, 9673
112, -43208, 9608
113, -46389, 10547
114, -48714, 11938
115, -42280, 12478
116, -25172, 11270
117, -6943, 10292
118, 17105, 5923
119, 32742, 995
120, 41797, -5035
121, 44835, -9397
122, 46889, -15032
123, 50678, -21092
124, 53676, -29262
125, 47656, -39157
126, 36047, -46783
127, 20434, -53378
128, 3607, -56199
129, -12394, -55468
130, -25749, -51460
131, -34932, -45572
132, -42482, -39487
133, -47709, -31808
134, -52232, -23670
135, -53173, -13603
136, -52741, -3398
137, -51246, 5880
138, -47188, 15281
139, -42099, 23298
140, -36481, 28741
141, -31630, 32937
142, -25183, 35791
143, -19120, 38152
144, -13078, 40149
145, -6282, 41530
146, 2095, 41982
147, 9027, 43631
148, 16159, 45324
149, 21818, 47742
150, 26076, 49844
151, 28856, 52437
152, 28730, 55469
153, 27829, 57566
154, 25405, 58942
155, 19646, 58974
156, 12370, 55927
157, 2336, 49454
158, -9367, 40384
159, -21620, 29234
160, -31652, 19129
161, -39316, 10876
162, -42790, 5585
163, -45502, 3804
164, -46575, 4709
165, -47202, 9523
166, -44979, 17403
167, -39443, 27961
168, -30717, 39078
169, -20150, 48537
170, -10412, 54666
171, -2018, 57863
172, 4911, 58363
173, 12649, 56020
174, 18679, 50422
175, 23339, 38328
176, 24155, 19577
177, 21819, 1304
178, 14509, -16127
179, 10879, -33856
180, 1724, -42913
181, -5738, -46668
182, -13272, -46671
183, -21363, -47666
184, -31777, -45751
185, -41568, -36612
186, -49258, -23902
187, -54118, -8807
188, -56127, 4520
189, -54841, 15045
190, -51755, 21091
191, -48363, 22952
192, -43388, 20525
193, -37362, 12299
194, -27782, 307
195, -18008, -11960
196, -13446, -25544
197, -9607, -36823
198, -8045, -44763
199, -8909, -47674
200, -10893, -50526
201, -16825, -51897
202, -24966, -50070
203, -33708, -41640
204, -42392, -28789
205, -49962, -14174
206, -53056, 339
207, -53087, 13063
208, -50596, 22615
209, -46601, 29666
210, -41595, 35671
211, -33212, 39792
212, -25060, 42840
213, -13801, 43795
214, -3189, 42545
215, 6678, 41400
216, 14022, 41928
217, 19552, 42272
218, 21855, 44348
219, 21998, 47248
220, 20299, 51091
221, 17278, 54388
222, 14373, 57543
223, 11535, 59440
224, 9184, 59285
225, 9240, 56525
226, 9747, 50607
227, 13441, 42611
228, 17649, 31023
229, 22889, 20332
230, 30048, 9452
231, 36173, -802
232, 40203, -8023
233, 43609, -13450
234, 47764, -15678
235, 51321, -17087
236, 54655, -15697
237, 56661, -13837
238, 57671, -11248
239, 57205, -8630
240, 55176, -6852
241, 52327, -6462
242, 47897, -7684
243, 45117, -11319
244, 40681, -17243
245, 37467, -24608
246, 31537, -32174
247, 26003, -38719
248, 18784, -44765
249, 11594, -49501
250, 3385, -52754
251, -6522, -53193
252, -17485, -50822
253, -29284, -45878
254, -40472, -37052
255, -49645, -27046
256, -56173, -15505
257, -59927, -4432
258, -60491, 5494
259, -57984, 13599
260, -54089, 19414
261, -45070, 24288
262, -30717, 25015
263, -13457, 21851
264, 4084, 15639
265, 16228, 6396
266, 33242, -827
267, 40263, -8504
268, 43785, -14197
269, 44296, -18258
270, 45935, -22658
271, 46238, -28653
272, 40108, -32010
273, 28531, -34889
274, 15909, -35447
275, 2740, -37821
276, -8470, -38609
277, -16976, -39964
278, -21249, -42467
279, -22866, -47063
280, -22921, -51580
281, -20677, -56947
282, -17540, -61107
283, -14736, -65135
284, -11150, -66232
285, -8872, -64034
286, -7957, -57200
287, -7144, -44624
288, -6194, -26570
289, -5642, -9374
290, -7340, 7844
291, -5463, 23612
292, -2508, 33258
293, 2160, 39733
294, 6258, 42539
295, 12265, 46207
296, 19422, 48301
297, 28722, 45505
298, 37491, 37229
299, 45943, 25863
300, 50933, 14031
301, 53596, 3158
302, 54229, -7272
303, 51489, -14608
304, 47144, -20382
305, 39170, -23352
306, 29331, -23559
307, 16120, -18774
308, 2610, -14012
309, -9531, -6871
310, -24960, -620
311, -33377, 6788
312, -40745, 12922
313, -43892, 15850
314, -50365, 18524
315, -58706, 20026
316, -65651, 20641
317, -69841, 21794
318, -71105, 21963
319, -69865, 20123
320, -64515, 18444
321, -53677, 13834
322, -35884, 6653
323, -16962, -673
324, 378, -5720
325, 16881, -14430
326, 31112, -18028
327, 38777, -19908
328, 39283, -17303
329, 42361, -14408
330, 48002, -11059
331, 49692, -3320
332, 45292, 6869
333, 36206, 19393
334, 24632, 31156
335, 14473, 40145
336, 7056, 45814
337, 3999, 49531
338, 3930, 50705
339, 8921, 50213
340, 17139, 46364
341, 28333, 38819
342, 41549, 26321
343, 50601, 13163
344, 55958, 594
345, 57653, -8851
346, 56571, -15617
347, 54120, -20117
348, 47826, -22992
349, 33580, -21494
350, 13466, -16117
351, -8217, -7118
352, -26360, 2587
353, -38009, 9643
354, -43394, 15574
355, -44411, 16475
356, -46546, 16984
357, -47708, 16455
358, -41501, 13344
359, -25013, 5989
360, -4475, -4884
361, 13403, -8723
362, 30217, -15113
363, 40541, -17342
364, 43549, -15720
365, 47002, -11946
366, 52167, -7104
367, 54784, 2297
368, 50211, 14327
369, 40652, 27433
370, 27790, 38145
371, 17124, 46916
372, 8061, 50764
373, 3732, 52583
374, 2537, 52266
375, 4882, 49391
376, 9985, 43407
