Index, I_out, Q_out
1, 34096, -41508
2, 42739, -31448
3, 46162, -17519
4, 34769, -3605
5, -1843, 9251
6, -25628, 9614
7, -45570, 6177
8, -48291, 6593
9, -49122, 8021
10, -49664, 11991
11, -49224, 14825
12, -49241, 17506
13, -48550, 19049
14, -48247, 18777
15, -48730, 17325
16, -49501, 14250
17, -51343, 10062
18, -52440, 5792
19, -53591, 2325
20, -54503, -42
21, -55226, -924
22, -55085, 2078
23, -53681, 7566
24, -49405, 17081
25, -42068, 27309
26, -31128, 37876
27, -19514, 44687
28, -9951, 50213
29, -2221, 54319
30, 5148, 56554
31, 11747, 57157
32, 17350, 54952
33, 24107, 49847
34, 30148, 37232
35, 32690, 13931
36, 18317, -12385
37, 5481, -16751
38, 2199, -26824
39, -3720, -37277
40, -10578, -43249
41, -17450, -43481
42, -24706, -43145
43, -33678, -40971
44, -43231, -33227
45, -49448, -19880
46, -51056, -5635
47, -50784, 5752
48, -49715, 14627
49, -48153, 19735
50, -47438, 21291
51, -46952, 20795
52, -44896, 14516
53, -40797, 3382
54, -30400, -9674
55, -18498, -19754
56, -11287, -27604
57, -7960, -35448
58, -6250, -43392
59, -5889, -49160
60, -5743, -54189
61, -6816, -58960
62, -8418, -64296
63, -11071, -67487
64, -14776, -67424
65, -18779, -65132
66, -20924, -59416
67, -22842, -51493
68, -20187, -39729
69, -15676, -26298
70, -11121, -11882
71, 2891, 4075
72, 2412, 7876
73, 7479, 18753
74, 12403, 29418
75, 14491, 34331
76, 13853, 39091
77, 13203, 45732
78, 9622, 54123
79, 6225, 58638
80, 2861, 60631
81, 255, 62030
82, 122, 60928
83, 2611, 58679
84, 8145, 54087
85, 16981, 46080
86, 27441, 35586
87, 35849, 25432
88, 42595, 16872
89, 47984, 9043
90, 51927, 2931
91, 54848, -3215
92, 56284, -9279
93, 54872, -17324
94, 49175, -26845
95, 35985, -37472
96, 18103, -43908
97, 323, -44117
98, -11303, -42908
99, -18251, -44543
100, -21501, -44562
101, -21937, -46631
102, -17113, -48764
103, -7263, -49565
104, 8128, -46232
105, 22408, -36502
106, 33111, -27743
107, 42879, -21795
108, 49745, -16278
109, 54551, -11870
110, 56361, -8825
111, 54582, -4960
112, 48750, -1321
113, 34197, 4485
114, -6423, 14287
115, -6820, 700
116, -23667, 4156
117, -35384, 7009
118, -42668, 9108
119, -43147, 9878
120, -46144, 11570
121, -48204, 13858
122, -41125, 15877
123, -16422, 22156
124, 12309, 1620
125, 18061, 1219
126, 32667, -2429
127, 41293, -8201
128, 43813, -13375
129, 45223, -19478
130, 47690, -27183
131, 47758, -38168
132, 37770, -48762
133, 21770, -54902
134, 3380, -57055
135, -12654, -54874
136, -25393, -50848
137, -35330, -45421
138, -41987, -39170
139, -48209, -32245
140, -52212, -23702
141, -55452, -14609
142, -54747, -3900
143, -52442, 6553
144, -49141, 15683
145, -43524, 23788
146, -37588, 30037
147, -32014, 33645
148, -26512, 37182
149, -19912, 38970
150, -13011, 40643
151, -6201, 41767
152, 1762, 41965
153, 8927, 41076
154, 14906, 41987
155, 20607, 43482
156, 24647, 46345
157, 27336, 49166
158, 28531, 52614
159, 27625, 56026
160, 24833, 58921
161, 20428, 60846
162, 12770, 60834
163, 1770, 57251
164, -11230, 48218
165, -24096, 33735
166, -30797, 19330
167, -35758, 9443
168, -40550, 4417
169, -43056, 2914
170, -45439, 4488
171, -45930, 9043
172, -44972, 17214
173, -39226, 28059
174, -29877, 38013
175, -18903, 45971
176, -9538, 51680
177, -1188, 55637
178, 4902, 57689
179, 12245, 57275
180, 19539, 54004
181, 26741, 46650
182, 33973, 29318
183, 31085, 733
184, 13980, -16805
185, 6359, -20741
186, 2494, -35474
187, -5085, -42646
188, -12102, -45435
189, -20242, -44098
190, -30038, -42734
191, -41578, -37070
192, -50034, -23769
193, -54064, -8649
194, -54619, 4792
195, -54331, 14789
196, -52685, 21404
197, -50423, 24102
198, -48585, 22479
199, -45487, 15321
200, -39321, 1014
201, -23726, -14457
202, -10233, -19043
203, -6710, -28076
204, -5859, -37602
205, -7392, -44877
206, -10524, -47344
207, -15708, -49242
208, -24120, -48935
209, -34956, -43687
210, -44290, -30140
211, -49289, -14017
212, -51924, 964
213, -51546, 12570
214, -49857, 22428
215, -46846, 29611
216, -41960, 35930
217, -35784, 41499
218, -25724, 44996
219, -15426, 47173
220, -3100, 45814
221, 6753, 42127
222, 13875, 39573
223, 18436, 40184
224, 21078, 41532
225, 21196, 44669
226, 19920, 48161
227, 17056, 52263
228, 13867, 55356
229, 11090, 58265
230, 9192, 59848
231, 8430, 59397
232, 10502, 56304
233, 14212, 49539
234, 21634, 39094
235, 27113, 23213
236, 29217, 9149
237, 31485, -956
238, 35348, -7727
239, 39316, -11615
240, 43169, -14803
241, 47745, -15739
242, 51787, -15613
243, 55140, -13900
244, 57280, -10991
245, 58175, -8245
246, 57477, -6577
247, 55236, -6348
248, 52083, -8203
249, 47170, -11319
250, 42922, -17927
251, 36854, -24375
252, 31541, -31852
253, 24561, -37769
254, 18217, -42936
255, 10881, -47311
256, 2992, -50752
257, -6111, -52507
258, -17141, -50776
259, -29061, -45210
260, -39946, -36967
261, -48541, -25582
262, -54441, -15240
263, -58146, -3852
264, -59868, 5165
265, -59145, 13826
266, -55952, 20410
267, -51018, 26449
268, -40390, 31462
269, -21731, 33122
270, 7679, 24486
271, 15453, 4742
272, 17442, 184
273, 32728, -5884
274, 39277, -12276
275, 42607, -17418
276, 42829, -21476
277, 43561, -26942
278, 42757, -33626
279, 32946, -39343
280, 18158, -41251
281, 2863, -38747
282, -8636, -36924
283, -15628, -36306
284, -19818, -38632
285, -21547, -42316
286, -21408, -47744
287, -19985, -52789
288, -17088, -58125
289, -13919, -62033
290, -11003, -65868
291, -8173, -66665
292, -7633, -64192
293, -7657, -57241
294, -8690, -44348
295, -12563, -24217
296, -5526, 9442
297, -2910, 10341
298, -2969, 24054
299, 487, 33349
300, 5379, 39427
301, 11263, 41495
302, 18602, 44039
303, 27901, 43951
304, 38102, 37998
305, 45980, 26029
306, 50948, 13565
307, 52769, 2546
308, 53229, -7023
309, 52623, -14980
310, 49238, -20979
311, 44595, -25482
312, 35939, -28072
313, 24912, -28189
314, 5551, -24114
315, -12631, -6602
316, -11748, -139
317, -24671, 3836
318, -32767, 9298
319, -40147, 14672
320, -43528, 16825
321, -50210, 18941
322, -58693, 20061
323, -65720, 20419
324, -70064, 21072
325, -71701, 19931
326, -70304, 18528
327, -65347, 15238
328, -54745, 8694
329, -36414, -2440
330, -3002, -16708
331, 4729, -3241
332, 19614, -10417
333, 32576, -15226
334, 40257, -16714
335, 40468, -14315
336, 43611, -10003
337, 49078, -4238
338, 49236, 7492
339, 40454, 21494
340, 26095, 31717
341, 13012, 37524
342, 6307, 42205
343, 2863, 46266
344, 3529, 49567
345, 8306, 50175
346, 17316, 47969
347, 28954, 40064
348, 40682, 25585
349, 47817, 11525
350, 52284, 268
351, 55282, -8689
352, 56262, -15387
353, 55024, -20408
354, 52372, -24308
355, 45595, -27147
356, 27411, -28953
357, -17803, -11142
358, -10813, 1118
359, -25859, 5729
360, -37515, 11414
361, -43052, 16497
362, -44329, 16695
363, -46748, 16418
364, -48326, 14541
365, -42743, 8572
366, -19370, -16923
367, 5380, -3865
368, 14753, -6173
369, 31416, -12427
370, 41644, -14496
371, 44744, -11897
372, 47999, -6926
373, 52630, 1328
374, 52783, 14850
375, 43264, 29235
376, 29136, 39449
377, 15729, 44497
378, 7572, 49366
379, 2732, 51329
380, 1692, 52689
381, 4651, 52120
382, 10984, 48401
383, 21669, 38915
384, 30605, 21110
385, 34547, 6774
386, 39277, -3871
387, 43985, -11551
388, 46954, -17284
389, 49543, -21643
390, 52960, -24282
391, 55669, -26183
392, 58370, -26885
393, 59300, -25943
394, 58385, -23657
395, 55738, -18961
396, 51058, -12623
397, 47603, -5159
398, 41872, 2470
399, 36398, 9830
400, 32008, 16636
401, 28442, 22015
402, 25714, 28542
403, 22372, 33596
404, 18811, 38097
405, 14892, 43075
406, 10297, 47277
407, 5760, 51703
408, 1702, 54769
409, -1465, 56530
410, -3199, 57833
411, -3143, 57926
412, -369, 57600
413, 5521, 55462
414, 13879, 51887
415, 24251, 44623
416, 33522, 34628
417, 40621, 26274
418, 45747, 18591
419, 51359, 12263
420, 54268, 5617
421, 56250, -1453
422, 56323, -9555
423, 53180, -19427
424, 43947, -30901
425, 29798, -40169
426, 13308, -45754
427, 569, -47318
428, -8990, -48951
429, -15131, -49653
430, -18958, -50461
431, -19079, -51122
432, -15945, -51964
433, -7138, -49795
434, 6907, -41588
435, 20145, -27670
436, 27732, -15190
437, 35302, -9117
438, 43018, -6310
439, 46767, -6578
440, 49323, -8272
441, 49429, -13578
442, 46032, -22279
443, 36141, -33401
444, 18325, -41054
445, 3737, -43697
446, -6959, -45995
447, -14511, -47743
448, -18119, -48992
449, -19749, -49809
450, -16451, -51112
451, -8591, -50411
452, 4553, -43761
453, 18657, -28535
454, 25434, -14286
455, 32805, -7925
456, 40597, -4989
457, 45935, -5529
458, 48597, -8342
459, 50268, -13533
460, 48564, -21763
461, 41630, -34044
462, 28146, -43963
463, 11996, -49746
464, -1176, -51577
465, -12775, -52326
466, -22920, -51091
467, -31351, -47823
468, -38099, -42766
469, -44520, -35114
470, -49144, -24354
471, -50486, -11863
472, -48694, 1215
473, -45491, 11481
474, -42833, 18394
475, -41457, 22671
476, -41916, 24821
477, -43727, 24189
478, -46128, 22569
479, -48390, 18712
480, -50674, 14504
481, -52618, 11220
482, -53385, 8978
483, -54171, 6716
484, -53387, 6811
485, -51864, 8346
486, -49717, 11382
487, -47871, 13906
488, -45474, 17098
489, -43899, 19288
490, -43139, 19253
491, -42752, 19108
492, -44664, 16788
493, -46197, 13585
494, -49484, 9891
495, -52917, 5942
496, -54923, 2808
497, -57573, 1029
498, -58611, 695
499, -58856, 2802
500, -57934, 7473
501, -53407, 16312
502, -45618, 26481
503, -33429, 35549
504, -19719, 41329
505, -8797, 46314
506, -541, 48091
507, 6118, 50368
508, 11473, 51751
509, 15287, 51563
510, 18383, 50128
511, 20743, 44982
512, 21100, 34150
513, 19997, 17228
514, 5436, -12013
515, -157, -8398
516, -3415, -20728
517, -7369, -30054
518, -12386, -38183
519, -14396, -41668
520, -15750, -47807
521, -16092, -54031
522, -16928, -59642
523, -17039, -60581
524, -16506, -61498
525, -15875, -59070
526, -14931, -56249
527, -12393, -51276
528, -11659, -46789
529, -9961, -42957
530, -8826, -40305
531, -8135, -38066
532, -8390, -38154
533, -8519, -39345
534, -10174, -41289
535, -10927, -43736
536, -12606, -47188
537, -13730, -50399
538, -15586, -53753
539, -16909, -56126
540, -18203, -58557
541, -19421, -61325
542, -19762, -60972
543, -19371, -60184
544, -17558, -57095
545, -13232, -50879
546, -5847, -39995
547, 5872, -24048
548, 11239, 1847
549, 4023, 7424
550, 10368, 19818
551, 14234, 30200
552, 14997, 36996
553, 11248, 40137
554, 6570, 45282
555, -1852, 50566
556, -12991, 51055
557, -25078, 47078
558, -36265, 39525
559, -44900, 28519
560, -50963, 17891
561, -53936, 8601
562, -55660, -111
563, -53524, -9469
564, -48679, -17996
565, -41314, -26571
566, -30528, -32546
567, -19973, -36757
568, -10793, -38442
569, -5408, -40136
570, -3782, -41443
571, -4372, -43747
572, -7660, -46603
573, -11817, -49920
574, -17426, -52123
575, -21991, -53347
576, -25934, -54782
577, -27071, -54942
578, -24867, -56331
579, -19028, -55053
580, -7937, -53814
581, 7416, -45120
582, 21475, -33080
583, 31240, -21807
584, 39641, -15465
585, 47330, -12362
586, 50671, -10321
587, 53402, -10226
588, 53839, -9711
589, 50587, -10925
590, 40381, -14696
591, 16309, -20790
592, -11779, -3522
593, -16242, -2842
594, -29918, -285
595, -38037, 5196
596, -41995, 10789
597, -43653, 17082
598, -43982, 25606
599, -42317, 36405
600, -32536, 46166
601, -18264, 52118
602, -5055, 54179
603, 6795, 53470
604, 16260, 51696
605, 23387, 48847
606, 27524, 44461
607, 30155, 37202
608, 30262, 27353
609, 27503, 10045
610, 11731, -11572
611, -111, -9737
612, -3009, -18080
613, -8779, -31140
614, -14711, -39767
615, -16837, -44668
616, -18735, -49904
617, -19702, -56876
618, -20579, -65429
619, -21412, -69573
620, -21312, -71103
621, -19811, -69817
622, -17692, -64370
623, -11225, -53570
624, 597, -35982
625, 14391, -7780
626, 4609, 4329
627, 7865, 11687
628, 15629, 27186
629, 19559, 36770
630, 17026, 39920
631, 12671, 42817
632, 5150, 46504
633, -6296, 48341
634, -20069, 42698
635, -32060, 32342
636, -40370, 22537
637, -46481, 15478
638, -51943, 11541
639, -53812, 9005
640, -53931, 9455
641, -51836, 12841
642, -42971, 20960
643, -24659, 29947
644, -3404, 30391
645, 7052, 29193
646, 14554, 34201
647, 19710, 39044
648, 19072, 42774
649, 15709, 46963
650, 6898, 50955
651, -6820, 50624
652, -21915, 44898
653, -34796, 34745
654, -45097, 26460
655, -53052, 18831
656, -56784, 11729
657, -57916, 5792
658, -55810, -55
659, -48448, -6708
660, -30687, -15714
661, 3955, -18555
662, 9634, -4036
663, 25569, -6552
664, 38840, -7850
665, 45807, -7860
666, 45595, -7265
667, 47250, -6562
668, 50174, -5834
669, 43092, -4132
670, 26707, -157
671, -7543, 2704
672, -10126, -889
673, -28793, 3242
674, -41091, 6986
675, -43847, 10039
676, -47157, 10019
677, -53093, 12564
678, -61769, 15577
679, -63270, 17789
680, -60285, 19843
681, -56443, 20275
682, -50865, 18935
683, -45547, 16063
684, -43452, 12637
685, -41138, 9502
686, -42839, 6507
687, -44500, 5131
688, -47184, 4956
689, -50268, 5236
690, -52226, 7412
691, -53796, 11050
692, -52844, 15469
693, -49310, 22247
694, -44245, 29221
695, -33254, 35822
696, -21397, 40309
697, -9642, 42418
698, 416, 43376
699, 8282, 44165
700, 14960, 44517
701, 20239, 45663
702, 23831, 46559
703, 26256, 47715
704, 27024, 49826
705, 27361, 51016
706, 25261, 52772
707, 21619, 53611
708, 16849, 54197
709, 9790, 53367
710, 1380, 51933
711, -7592, 48100
712, -16433, 42724
713, -24640, 35693
714, -31595, 29174
715, -37641, 22946
716, -42257, 17118
717, -45712, 10768
718, -47808, 5818
719, -48819, -329
720, -48490, -7008
721, -45734, -13806
722, -41301, -19919
723, -34176, -26574
724, -24529, -31794
725, -16256, -35982
726, -9078, -40522
727, -4518, -44613
728, -851, -48061
729, 825, -52526
730, 1703, -57126
731, 597, -61243
732, -1347, -64486
733, -5548, -66489
734, -11504, -66327
735, -19548, -61193
736, -29241, -50726
737, -38852, -34572
738, -41842, -14013
739, -40082, 2083
740, -38646, 12024
741, -38939, 18061
742, -40058, 21499
743, -42374, 21161
744, -45548, 16251
745, -47211, 6675
746, -45235, -6593
747, -40232, -20128
748, -33219, -31848
749, -28635, -41945
750, -24067, -49322
751, -18707, -54026
752, -13641, -56384
753, -8229, -55605
754, -1134, -50860
755, 9754, -38298
756, 22712, -4726
757, 6682, 7970
758, 8545, 17413
759, 11526, 33788
760, 12747, 43523
761, 11327, 44876
762, 8151, 46820
763, 4707, 47705
764, -2098, 44222
765, -15055, 26829
766, -14971, -7035
767, -5000, -11607
768, -9763, -27779
769, -10038, -37839
770, -9402, -44455
771, -6007, -46450
772, 520, -51364
773, 9405, -54817
774, 20930, -52084
775, 31285, -42143
776, 40698, -28680
777, 44572, -14977
778, 47767, -6250
779, 49898, -256
780, 51681, 2955
781, 53543, 4500
782, 55262, 3708
783, 56064, 819
784, 55518, -2579
785, 53902, -7997
786, 52062, -13434
787, 49768, -18748
788, 46957, -22145
789, 45531, -24677
790, 44668, -26075
791, 44641, -26409
792, 45582, -25896
793, 47943, -24818
794, 49454, -20388
795, 50990, -15566
796, 50966, -8822
797, 51048, -99
798, 49163, 8794
799, 44036, 18657
800, 38445, 27929
801, 32124, 35198
802, 26129, 41660
803, 18905, 46417
804, 12767, 49587
805, 5123, 51542
806, -4052, 50522
807, -12126, 47637
808, -21715, 40768
809, -29692, 31835
810, -35911, 22022
811, -39575, 13875
812, -42268, 8238
813, -44999, 5573
814, -47233, 5862
815, -49866, 6703
816, -51937, 10156
817, -52724, 14344
818, -53526, 18470
819, -52354, 21772
820, -51529, 23717
821, -50943, 22418
822, -50392, 17505
823, -49599, 10636
824, -46738, -1137
825, -40288, -12702
826, -34061, -23332
827, -28852, -33450
828, -23844, -40865
829, -19126, -46974
830, -12944, -50724
831, -6271, -52924
832, 2262, -52764
833, 12831, -49569
834, 23214, -40998
835, 30778, -29017
836, 36320, -17517
837, 40714, -10056
838, 43288, -6195
839, 44656, -5067
840, 46413, -8142
841, 46163, -13580
842, 43361, -22330
843, 37075, -32463
844, 27249, -40792
845, 15629, -47102
846, 4317, -50582
847, -6994, -51957
848, -17933, -51246
849, -29050, -47615
850, -39549, -41052
851, -48856, -32173
852, -55208, -21363
853, -58929, -9465
854, -61101, 954
855, -59224, 10877
856, -56169, 19443
857, -49711, 27037
858, -40651, 31739
859, -24789, 34382
860, -3453, 30194
861, 14641, 14030
862, 18355, 4001
863, 26448, -1063
864, 34370, -7792
865, 39479, -14617
866, 41778, -20139
867, 42991, -26511
868, 43099, -33830
869, 38352, -41560
870, 28956, -48565
871, 15348, -52539
872, 143, -52278
873, -12884, -48911
874, -23270, -45574
875, -31686, -41316
